   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   13.528  0x00000015 VoipCall  Ulink    9.974   0.840   0.000    1438    1438   0.000  2113860  1695.464
   13.528  0x00000015 VoipCall  Dlink    0.001   0.789   0.049       1       1   0.000     1470 14906.397
   14.924  0x00000011 VoipCall  Ulink   11.994   0.784   0.002     796     796   0.000  1170120   780.465
   14.924  0x00000011 VoipCall  Dlink    0.001   0.909   0.057       1       1   0.000     1470 12938.389
   15.839  0x0000003c VoipCall  Ulink    7.832   0.744   0.011      64      64   0.000    94080    96.091
   15.839  0x0000003c VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   16.295  0x0000001a VoipCall  Ulink   12.376   0.758   0.001    2610    2610   0.000  3836700  2480.022
   16.295  0x0000001a VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   18.684  0x00000014 VoipCall  Ulink   15.178   0.712   0.003     197     197   0.000   289590   152.640
   18.684  0x00000014 VoipCall  Dlink    0.001   1.029   0.064       1       1   0.000     1470 11429.426
   20.601  0x0000007b VoipCall  Ulink    5.990   0.998   0.006      91      91   0.000   133770   178.669
   20.601  0x0000007b VoipCall  Dlink    0.001   1.049   0.066       1       1   0.000     1470 11211.499
   21.717  0x00000054 VoipCall  Ulink   11.092   0.556   0.004     188     188   0.000   276360   199.317
   21.717  0x00000054 VoipCall  Dlink    0.001   1.049   0.066       1       1   0.000     1470 11211.499
   22.326  0x00000088 VoipCall  Ulink    6.179   1.039   0.009      78      78   0.000   114660   148.461
   22.326  0x00000088 VoipCall  Dlink    0.001   1.149   0.072       1       1   0.000     1470 10235.672
   22.398  0x0000002a VoipCall  Ulink   15.792   0.654   0.009      88      88   0.000   129360    65.531
   22.398  0x0000002a VoipCall  Dlink    0.001   1.149   0.072       1       1   0.000     1470 10235.672
   22.705  0x0000004c VoipCall  Ulink   13.100   0.591   0.007      91      91   0.000   133770    81.689
   22.705  0x0000004c VoipCall  Dlink    0.001   1.149   0.072       1       1   0.000     1470 10231.825
   22.993  0x00000027 VoipCall  Ulink   17.195   0.653   0.001    1805    1805   0.000  2653350  1234.489
   22.993  0x00000027 VoipCall  Dlink    0.001   1.149   0.072       1       1   0.000     1470 10235.672
   23.279  0x0000000a VoipCall  Ulink   20.998   0.657   0.002    1706    1706   0.000  2507820   955.469
   23.279  0x0000000a VoipCall  Dlink    0.001   0.849   0.053       1       1   0.000     1470 13852.846
   23.313  0x00000091 VoipCall  Ulink    6.505   0.988   0.002     487     487   0.000   715890   880.374
   23.313  0x00000091 VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   23.510  0x00000010 VoipCall  Ulink   20.437   0.659   0.006     161     161   0.000   236670    92.642
   23.510  0x00000010 VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   23.854  0x00000024 VoipCall  Ulink   18.259   0.649   0.003     930     930   0.000  1367100   598.994
   23.854  0x00000024 VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   24.187  0x0000006e VoipCall  Ulink   11.200   0.923   0.003    1504    1504   0.000  2210880  1579.264
   24.187  0x0000006e VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   25.651  0x000000c2 VoipCall  Ulink    4.838   0.741   0.021      37      37   0.000    54390    89.944
   25.651  0x000000c2 VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   25.694  0x000000b5 VoipCall  Ulink    6.684   0.810   0.003    2196    2196   0.000  3228120  3863.731
   25.694  0x000000b5 VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   25.829  0x00000029 VoipCall  Ulink   19.529   0.629   0.003    1264    1264   0.000  1858080   761.152
   25.829  0x00000029 VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   26.534  0x000000b0 VoipCall  Ulink    7.824   0.795   0.007      93      93   0.000   136710   139.778
   26.534  0x000000b0 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   27.205  0x00000065 VoipCall  Ulink   15.001   0.847   0.004     683     683   0.000  1004010   535.425
   27.205  0x00000065 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   27.336  0x0000009a VoipCall  Ulink    9.845   0.803   0.013      58      58   0.000    85260    69.278
   27.336  0x0000009a VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   27.672  0x00000078 VoipCall  Ulink   13.483   0.827   0.001    2214    2214   0.000  3254580  1931.081
   27.672  0x00000078 VoipCall  Dlink    0.001   1.089   0.068       1       1   0.000     1470 10799.661
   28.203  0x00000008 VoipCall  Ulink   26.140   0.632   0.004    1341    1341   0.000  1971270   603.286
   28.203  0x00000008 VoipCall  Dlink    0.001   1.089   0.068       1       1   0.000     1470 10799.661
   28.406  0x0000009c VoipCall  Ulink   10.997   0.776   0.003     704     704   0.000  1034880   752.864
