 TimeSec      SRC      DST   Cookie                   SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x0380372710753011         10.0.0.56       10.0.0.55    10000    30000    17        5           true     false    false    1                1.846         0.000         0        6665189
  10.000       SW       HW 0x02a0292713753311         10.0.0.42       10.0.0.41    10003    30003    17        5           true     false    false    1                6.426         0.000         0        6287283
  10.000       SW       HW 0x0de0dd2715753511         10.0.0.222       10.0.0.221    10005    30005    17        5           true     false    false    2                8.234         0.000         0        6237092
  10.000       SW       HW 0x0de0dd2717753711         10.0.0.222       10.0.0.221    10007    30007    17        5           true     false    false    2                8.420         0.000         0        5987942
  10.000       SW       HW 0x0a40a32712753211         10.0.0.164       10.0.0.163    10002    30002    17        5           true     false    false    2                9.224         0.000         0        5893524
  10.000       SW       HW 0x1061052714753411         10.0.1.6       10.0.1.5    10004    30004    17        5           true     false    false    2                9.084         0.000         0        5863425
  10.000       SW       HW 0x11e11d2714753411         10.0.1.30       10.0.1.29    10004    30004    17        5           true     false    false    2                5.638         0.000         0        5491047
  10.000       SW       HW 0x05a0592710753011         10.0.0.90       10.0.0.89    10000    30000    17        5           true     false    false    1                6.855         0.000         0        5484401
  10.000       SW       HW 0x0720712710753011         10.0.0.114       10.0.0.113    10000    30000    17        5           true     false    false    1                1.054         0.000         0        4752916
  10.000       SW       HW 0x01c01b2714753411         10.0.0.28       10.0.0.27    10004    30004    17        5           true     false    false    1                8.973         0.000         0        4548683
  10.000       SW       HW 0x0b00af2710753011         10.0.0.176       10.0.0.175    10000    30000    17        5           true     false    false    2                5.179         0.000         0        4385022
  10.000       SW       HW 0x04c04b2711753111         10.0.0.76       10.0.0.75    10001    30001    17        5           true     false    false    1                3.621         0.000         0        4323143
  10.000       SW       HW 0x0f00ef2712753211         10.0.0.240       10.0.0.239    10002    30002    17        5           true     false    false    2                3.162         0.000         0        4315231
  10.000       SW       HW 0x1000ff2710753011         10.0.1.0       10.0.0.255    10000    30000    17        5           true     false    false    2                1.504         0.000         0        4172599
