Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
15 HW 22 100 596 39002040
15 SW 115 584 0 223499304
30 HW 41 178 758 171379152
31 SW 141 705 0 958589856
46 HW 54 230 758 421365672
46 SW 154 769 0 2252111904
61 HW 60 262 758 818294400
61 SW 165 794 0 4092007248
76 HW 63 274 758 1370853288
76 SW 157 812 0 6333988752
91 HW 59 285 758 2016879480
91 SW 147 840 0 8757206136
106 HW 48 296 758 2650209408
106 SW 125 882 0 11043077976
121 HW 44 306 758 3217720464
121 SW 85 916 0 12579868728
136 HW 35 319 758 3702246912
136 SW 60 937 0 13640332608
151 HW 18 324 758 3948693840
151 SW 26 951 0 14107811256
166 HW 11 327 758 4125423960
166 SW 25 964 0 14273726040
181 HW 7 329 758 4266118584
181 SW 8 967 0 14337553608
196 HW 3 331 758 4268386584
196 SW 10 973 0 14383020960
211 HW 4 332 758 4270746816
211 SW 2 975 0 14383020960
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
20 HW 18 100 5812 7015680
32 SW 253 6387 0 844743816
35 HW 22 198 12936 33073488
50 HW 54 280 13060 137877768
60 SW 363 6594 0 2836537704
60 SW 421 6594 0 4828331592
65 HW 75 327 13062 355273128
66 SW 449 6662 0 6964420176
80 HW 84 353 13082 719899488
80 SW 432 6714 0 9679618368
95 HW 80 370 13082 1208856096
95 SW 382 6760 0 12968185104
110 HW 76 392 13082 1831159008
110 SW 365 6872 0 16449622560
125 HW 69 403 13082 2596451760
125 SW 274 6947 0 19640201112
140 HW 58 422 13082 3402326592
140 SW 171 7014 0 22125979008
155 HW 36 434 13082 4021708320
155 SW 100 7063 0 23655320136
170 HW 27 445 13082 4544920800
170 SW 63 7092 0 24686091360
185 HW 14 448 13082 4868252928
185 SW 30 7107 0 25150855968
200 SW 10 7113 0 25239583152
200 HW 14 454 13082 5067495216
215 HW 4 456 13082 5069838816
215 SW 6 7119 0 25254875520
230 SW 2 7121 0 25254875520
230 HW 2 456 13082 5069838816
